timestamp,sumOpenInterest,sumOpenInterestValue
2025-07-02 18:00:00,81923.16000000,8936284792.90800000
2025-07-02 19:00:00,82010.78800000,8979188955.46520000
2025-07-02 20:00:00,81697.72000000,8955859292.06800000
2025-07-02 21:00:00,81683.12500000,8911501722.83946800
2025-07-02 22:00:00,81585.19800000,8925608307.15540000
2025-07-02 23:00:00,81653.67200000,8908362877.28239000
2025-07-03 00:00:00,81361.33100000,8852104676.66690000
2025-07-03 01:00:00,81364.63500000,8859355736.12100000
2025-07-03 02:00:00,81281.34500000,8854399573.84400000
2025-07-03 03:00:00,81014.65500000,8804405357.03850000
2025-07-03 04:00:00,81180.92500000,8815826314.19000000
2025-07-03 05:00:00,81016.65600000,8809797562.22667900
2025-07-03 06:00:00,81030.17600000,8855812244.09280000
2025-07-03 07:00:00,81073.69900000,8871076037.21010000
2025-07-03 08:00:00,80965.08100000,8844223931.16295400
2025-07-03 09:00:00,81347.16600000,8893443098.33080500
2025-07-03 10:00:00,81933.18000000,9004022236.14600000
2025-07-03 11:00:00,81850.60800000,8986831946.08868000
2025-07-03 12:00:00,81904.93300000,8973699102.10174200
2025-07-03 13:00:00,81760.65700000,8921714715.77430000
2025-07-03 14:00:00,83290.07900000,9180257494.40370000
2025-07-03 15:00:00,83185.29000000,9122930754.30000000
2025-07-03 16:00:00,82877.47700000,9041095678.18230000
2025-07-03 17:00:00,82446.13500000,9006077758.24650000
2025-07-03 18:00:00,82641.87600000,9049682103.00480000
2025-07-03 19:00:00,82635.35500000,9059941997.34800000
2025-07-03 20:00:00,82806.02600000,9088259212.77564600
2025-07-03 21:00:00,82888.09800000,9109642345.68420000
2025-07-03 22:00:00,82758.18800000,9082289066.24120000
2025-07-03 23:00:00,82892.67100000,9089678731.17600000
2025-07-04 00:00:00,82935.49300000,9085176874.23430000
2025-07-04 01:00:00,82844.19600000,9065099879.83817100
2025-07-04 02:00:00,82945.21300000,9078776583.43630000
2025-07-04 03:00:00,82725.29300000,9028888851.27056900
2025-07-04 04:00:00,82730.07000000,9033759631.69200000
2025-07-04 05:00:00,82843.77400000,9024851620.76680000
2025-07-04 06:00:00,82517.99400000,8991036849.24900000
2025-07-04 07:00:00,82563.45600000,8997988356.21120000
2025-07-04 08:00:00,82701.95100000,8986908424.56803000
2025-07-04 09:00:00,82460.28200000,8964260080.18615200
2025-07-04 10:00:00,82153.96500000,8950403378.66550000
2025-07-04 11:00:00,82028.03700000,8928678002.21670000
2025-07-04 12:00:00,81918.42100000,8916181162.16620000
2025-07-04 13:00:00,81978.45700000,8909804005.50790000
2025-07-04 14:00:00,80716.04300000,8712021159.29972300
2025-07-04 15:00:00,80782.53900000,8705562182.58285500
2025-07-04 16:00:00,80864.62200000,8695744780.92120000
2025-07-04 17:00:00,80673.94800000,8680394248.21194600
2025-07-04 18:00:00,81285.93800000,8763884048.43900000
2025-07-04 19:00:00,80806.47500000,8682655738.75000000
2025-07-04 20:00:00,80030.54800000,8597678553.30995000
2025-07-04 21:00:00,80022.77200000,8614011805.63062100
2025-07-04 22:00:00,79779.66200000,8605365983.61731100
2025-07-04 23:00:00,79561.96000000,8608435604.44992000
2025-07-05 00:00:00,79507.86200000,8581704937.32860000
2025-07-05 01:00:00,79565.80500000,8604421579.15612400
2025-07-05 02:00:00,79681.36900000,8600791033.58620000
2025-07-05 03:00:00,79721.79500000,8611436685.38700000
2025-07-05 04:00:00,79800.51200000,8625910827.97637200
2025-07-05 05:00:00,79875.70100000,8633483513.42957700
2025-07-05 06:00:00,79828.63000000,8628257816.61760000
2025-07-05 07:00:00,79898.29900000,8647611054.96973800
2025-07-05 08:00:00,79943.89800000,8634094860.98139200
2025-07-05 09:00:00,79934.84400000,8631115306.13199600
2025-07-05 10:00:00,79807.37100000,8621877595.66560000
2025-07-05 11:00:00,79753.56000000,8616311435.65200000
2025-07-05 12:00:00,79762.57600000,8619080152.49920000
2025-07-05 13:00:00,79723.59700000,8618607149.64170000
2025-07-05 14:00:00,79703.45500000,8614148824.18342000
2025-07-05 15:00:00,79775.60800000,8627728507.37225300
2025-07-05 16:00:00,79796.67000000,8619053777.70900000
